token,left_label,right_label,cosine_similarity,cosine_distance,left_count,right_count,min_count,max_count,mean_count,count_ratio_max_to_min,clean_token,is_short_token,has_repeated_char_pattern,has_nonstandard_chars,is_probable_name,is_probable_filler,quality_flags
ronnie,1960_1969,2010_2019,0.1234615296125412,0.8765384703874588,101,858,101,858,479.5,8.495049504950495,True,False,False,False,False,False,
phyllis,1960_1969,2010_2019,0.14729154109954834,0.8527084589004517,191,158,158,191,174.5,1.2088607594936709,True,False,False,False,False,False,
mate,1960_1969,2010_2019,0.17098896205425262,0.8290110379457474,134,8827,134,8827,4480.5,65.8731343283582,True,False,False,False,False,False,
jackson,1960_1969,2010_2019,0.17122900485992432,0.8287709951400757,140,8755,140,8755,4447.5,62.535714285714285,True,False,False,False,False,False,
oop,1960_1969,2010_2019,0.20955942571163177,0.7904405742883682,852,1608,852,1608,1230.0,1.8873239436619718,True,False,False,False,False,False,
don,1960_1969,2010_2019,0.21291285753250122,0.7870871424674988,387,33437,387,33437,16912.0,86.40051679586563,True,False,False,False,False,False,
sport,1960_1969,2010_2019,0.21813809871673584,0.7818619012832642,109,5738,109,5738,2923.5,52.642201834862384,True,False,False,False,False,False,
loop,1960_1969,2010_2019,0.21943463385105133,0.7805653661489487,116,6261,116,6261,3188.5,53.974137931034484,True,False,False,False,False,False,
shady,1960_1969,2010_2019,0.22088752686977386,0.7791124731302261,119,10644,119,10644,5381.5,89.4453781512605,True,False,False,False,False,False,
hike,1960_1969,2010_2019,0.22117270529270172,0.7788272947072983,477,1575,477,1575,1026.0,3.30188679245283,True,False,False,False,False,False,
chill,1960_1969,2010_2019,0.2237277328968048,0.7762722671031952,142,44333,142,44333,22237.5,312.2042253521127,True,False,False,False,False,False,
mhm,1960_1969,2010_2019,0.22535979747772217,0.7746402025222778,163,4965,163,4965,2564.0,30.460122699386503,True,False,False,False,False,False,
tag,1960_1969,2010_2019,0.22561553120613098,0.774384468793869,118,12158,118,12158,6138.0,103.03389830508475,True,False,False,False,False,False,
cha,1960_1969,2010_2019,0.2290964424610138,0.7709035575389862,428,10133,428,10133,5280.5,23.675233644859812,True,False,False,False,False,False,
ivy,1960_1969,2010_2019,0.2303222119808197,0.7696777880191803,204,2246,204,2246,1225.0,11.009803921568627,True,False,False,False,False,False,
gully,1960_1969,2010_2019,0.2307118922472,0.7692881077528,165,1480,165,1480,822.5,8.969696969696969,True,False,False,False,False,False,
meh,1960_1969,2010_2019,0.23452110588550568,0.7654788941144943,255,2154,255,2154,1204.5,8.447058823529412,True,False,False,False,False,False,
pan,1960_1969,2010_2019,0.23776370286941528,0.7622362971305847,112,8301,112,8301,4206.5,74.11607142857143,True,False,False,False,False,False,
hood,1960_1969,2010_2019,0.2394191473722458,0.7605808526277542,102,65863,102,65863,32982.5,645.7156862745098,True,False,False,False,False,False,
wah,1960_1969,2010_2019,0.23980079591274261,0.7601992040872574,673,10135,673,10135,5404.0,15.059435364041605,True,False,False,False,False,False,
goose,1960_1969,2010_2019,0.2433476448059082,0.7566523551940918,137,6633,137,6633,3385.0,48.416058394160586,True,False,False,False,False,False,
billie,1960_1969,2010_2019,0.24379366636276245,0.7562063336372375,128,1962,128,1962,1045.0,15.328125,True,False,False,False,False,False,
jordan,1960_1969,2010_2019,0.2452957183122635,0.7547042816877365,162,10397,162,10397,5279.5,64.17901234567901,True,False,False,False,False,False,
sparrow,1960_1969,2010_2019,0.2506679892539978,0.7493320107460022,230,1720,230,1720,975.0,7.478260869565218,True,False,False,False,False,False,
woh,1960_1969,2010_2019,0.2544783055782318,0.7455216944217682,107,2835,107,2835,1471.0,26.49532710280374,True,False,False,False,False,False,
dilly,1960_1969,2010_2019,0.25530877709388733,0.7446912229061127,177,781,177,781,479.0,4.4124293785310735,True,False,False,False,False,False,
gang,1960_1969,2010_2019,0.25571537017822266,0.7442846298217773,240,124997,240,124997,62618.5,520.8208333333333,True,False,False,False,False,False,
limbo,1960_1969,2010_2019,0.2558048367500305,0.7441951632499695,108,2869,108,2869,1488.5,26.564814814814813,True,False,False,False,False,False,
mill,1960_1969,2010_2019,0.2593052089214325,0.7406947910785675,178,9637,178,9637,4907.5,54.140449438202246,True,False,False,False,False,False,
stagger,1960_1969,2010_2019,0.25932955741882324,0.7406704425811768,129,855,129,855,492.0,6.627906976744186,True,False,False,False,False,False,
whip,1960_1969,2010_2019,0.25957128405570984,0.7404287159442902,119,69595,119,69595,34857.0,584.8319327731092,True,False,False,False,False,False,
kicks,1960_1969,2010_2019,0.25959283113479614,0.7404071688652039,171,15096,171,15096,7633.5,88.28070175438596,True,False,False,False,False,False,
granny,1960_1969,2010_2019,0.26003390550613403,0.739966094493866,124,4775,124,4775,2449.5,38.50806451612903,True,False,False,False,False,False,
dancer,1960_1969,2010_2019,0.26040083169937134,0.7395991683006287,111,5940,111,5940,3025.5,53.513513513513516,True,False,False,False,False,False,
zoo,1960_1969,2010_2019,0.2607625722885132,0.7392374277114868,162,6284,162,6284,3223.0,38.79012345679013,True,False,False,False,False,False,
pam,1960_1969,2010_2019,0.2624841332435608,0.7375158667564392,134,2361,134,2361,1247.5,17.619402985074625,True,False,False,False,False,False,
partner,1960_1969,2010_2019,0.26302066445350647,0.7369793355464935,100,7408,100,7408,3754.0,74.08,True,False,False,False,False,False,
lean,1960_1969,2010_2019,0.263969749212265,0.736030250787735,220,60080,220,60080,30150.0,273.09090909090907,True,False,False,False,False,False,
dan,1960_1969,2010_2019,0.26447030901908875,0.7355296909809113,137,5659,137,5659,2898.0,41.306569343065696,True,False,False,False,False,False,
lane,1960_1969,2010_2019,0.2652999758720398,0.7347000241279602,275,37998,275,37998,19136.5,138.17454545454547,True,False,False,False,False,False,
sandy,1960_1969,2010_2019,0.2658715844154358,0.7341284155845642,119,2245,119,2245,1182.0,18.865546218487395,True,False,False,False,False,False,
puff,1960_1969,2010_2019,0.2661294639110565,0.7338705360889435,152,12013,152,12013,6082.5,79.03289473684211,True,False,False,False,False,False,
